author_id,affiliation_id
A0001,AFF0001
A0001,AFF0002
A0001,AFF0003
A0002,AFF0001
A0002,AFF0002
A0002,AFF0003
A0003,AFF0001
A0003,AFF0002
A0003,AFF0003
A0004,AFF0004
A0004,AFF0005
A0004,AFF0004
A0005,AFF0004
A0005,AFF0005
A0005,AFF0004
A0006,AFF0004
A0006,AFF0005
A0006,AFF0004
A0007,AFF0006
A0007,AFF0007
A0008,AFF0006
A0008,AFF0007
A0009,AFF0008
A0009,AFF0009
A0010,AFF0008
A0010,AFF0009
A0011,AFF0010
A0011,AFF0010
A0012,AFF0010
A0012,AFF0010
A0013,AFF0009
A0013,AFF0009
A0013,AFF0009
A0013,AFF0009
A0014,AFF0009
A0014,AFF0009
A0014,AFF0009
A0014,AFF0009
A0015,AFF0009
A0015,AFF0009
A0015,AFF0009
A0015,AFF0009
A0016,AFF0009
A0016,AFF0009
A0016,AFF0009
A0016,AFF0009
A0017,AFF0011
A0017,AFF0012
A0018,AFF0011
A0018,AFF0012
A0019,AFF0012
A0019,AFF0009
A0019,AFF0012
A0019,AFF0013
A0020,AFF0012
A0020,AFF0009
A0020,AFF0012
A0020,AFF0013
A0018,AFF0012
A0018,AFF0009
A0018,AFF0012
A0018,AFF0013
A0021,AFF0012
A0021,AFF0009
A0021,AFF0012
A0021,AFF0013
A0022,AFF0010
A0022,AFF0010
A0023,AFF0010
A0023,AFF0010
A0024,AFF0010
A0024,AFF0010
A0024,AFF0010
A0025,AFF0010
A0025,AFF0010
A0025,AFF0010
A0026,AFF0010
A0026,AFF0010
A0026,AFF0010
A0027,AFF0014
A0027,AFF0014
A0027,AFF0009
A0027,AFF0009
A0028,AFF0014
A0028,AFF0014
A0028,AFF0009
A0028,AFF0009
A0029,AFF0014
A0029,AFF0014
A0029,AFF0009
A0029,AFF0009
A0016,AFF0014
A0016,AFF0014
A0016,AFF0009
A0016,AFF0009
A0030,AFF0009
A0031,AFF0008
A0031,AFF0008
A0031,AFF0011
A0009,AFF0008
A0009,AFF0008
A0009,AFF0011
A0032,AFF0008
A0032,AFF0008
A0032,AFF0011
A0033,AFF0015
A0033,AFF0016
A0033,AFF0013
A0033,AFF0009
A0033,AFF0009
A0034,AFF0015
A0034,AFF0016
A0034,AFF0013
A0034,AFF0009
A0034,AFF0009
A0035,AFF0015
A0035,AFF0016
A0035,AFF0013
A0035,AFF0009
A0035,AFF0009
A0036,AFF0015
A0036,AFF0016
A0036,AFF0013
A0036,AFF0009
A0036,AFF0009
A0037,AFF0015
A0037,AFF0016
A0037,AFF0013
A0037,AFF0009
A0037,AFF0009
A0038,AFF0010
A0038,AFF0010
A0038,AFF0010
A0038,AFF0010
A0039,AFF0010
A0039,AFF0010
A0039,AFF0010
A0039,AFF0010
A0040,AFF0010
A0040,AFF0010
A0040,AFF0010
A0040,AFF0010
A0041,AFF0010
A0041,AFF0010
A0041,AFF0010
A0041,AFF0010
A0042,AFF0017
A0042,AFF0017
A0042,AFF0017
A0042,AFF0017
A0043,AFF0017
A0043,AFF0017
A0043,AFF0017
A0043,AFF0017
A0044,AFF0017
A0044,AFF0017
A0044,AFF0017
A0044,AFF0017
A0045,AFF0017
A0045,AFF0017
A0045,AFF0017
A0045,AFF0017
A0046,AFF0018
A0047,AFF0010
A0047,AFF0010
A0047,AFF0010
A0047,AFF0010
A0047,AFF0010
A0048,AFF0010
A0048,AFF0010
A0048,AFF0010
A0048,AFF0010
A0048,AFF0010
A0049,AFF0010
A0049,AFF0010
A0049,AFF0010
A0049,AFF0010
A0049,AFF0010
A0012,AFF0010
A0012,AFF0010
A0012,AFF0010
A0012,AFF0010
A0012,AFF0010
A0050,AFF0010
A0050,AFF0010
A0050,AFF0010
A0050,AFF0010
A0050,AFF0010
A0051,AFF0009
A0051,AFF0009
A0051,AFF0003
A0051,AFF0009
A0051,AFF0009
A0052,AFF0009
A0052,AFF0009
A0052,AFF0003
A0052,AFF0009
A0052,AFF0009
A0053,AFF0009
A0053,AFF0009
A0053,AFF0003
A0053,AFF0009
A0053,AFF0009
A0054,AFF0009
A0054,AFF0009
A0054,AFF0003
A0054,AFF0009
A0054,AFF0009
A0055,AFF0009
A0055,AFF0009
A0055,AFF0003
A0055,AFF0009
A0055,AFF0009
A0056,AFF0008
A0056,AFF0008
A0057,AFF0008
A0057,AFF0008
A0058,AFF0019
A0058,AFF0019
A0058,AFF0019
A0059,AFF0019
A0059,AFF0019
A0059,AFF0019
A0060,AFF0019
A0060,AFF0019
A0060,AFF0019
A0061,AFF0019
A0061,AFF0019
A0061,AFF0019
A0061,AFF0019
A0060,AFF0019
A0060,AFF0019
A0060,AFF0019
A0060,AFF0019
A0062,AFF0019
A0062,AFF0019
A0062,AFF0019
A0062,AFF0019
A0063,AFF0019
A0063,AFF0019
A0063,AFF0019
A0063,AFF0019
A0064,AFF0012
A0064,AFF0008
A0064,AFF0008
A0057,AFF0012
A0057,AFF0008
A0057,AFF0008
A0065,AFF0012
A0065,AFF0008
A0065,AFF0008
A0066,AFF0020
A0066,AFF0020
A0067,AFF0020
A0067,AFF0020
A0047,AFF0010
A0047,AFF0010
A0047,AFF0010
A0047,AFF0010
A0047,AFF0010
A0048,AFF0010
A0048,AFF0010
A0048,AFF0010
A0048,AFF0010
A0048,AFF0010
A0049,AFF0010
A0049,AFF0010
A0049,AFF0010
A0049,AFF0010
A0049,AFF0010
A0012,AFF0010
A0012,AFF0010
A0012,AFF0010
A0012,AFF0010
A0012,AFF0010
A0050,AFF0010
A0050,AFF0010
A0050,AFF0010
A0050,AFF0010
A0050,AFF0010
A0068,AFF0009
A0068,AFF0009
A0068,AFF0009
A0068,AFF0009
A0068,AFF0009
A0069,AFF0009
A0069,AFF0009
