name,author_id
Mahdi Ghaed Rahmati,A0001
Mostafa hasanzadeh,A0002
Seyed Amir Hossein Feghhi,A0003
Reza Pourimani,A0004
Mohammad Reza Zare,A0005
Mehrdad Aghamohammadi,A0006
Wish Riahi,A0007
Mohammad Reza Rezai,A0008
Mojtaba Tajik,A0009
Hassan Ranjbar,A0010
Davood Qasim Abadi,A0011
Massoud Abdollahzadeh,A0012
Zohreh Gholamzadeh,A0013
Reza Ebrahimzadeh,A0014
Mohammad Hossein Choopan Dastjerdi,A0015
Javad Mokhtari,A0016
Pedram Maleki,A0017
Gholamreza,A0018
Muslim Kazemi,A0019
Hamid Reza Mirzaei,A0020
Rural Ehsan,A0021
Majid Zamani,A0022
Mohsen Shayesteh,A0023
Seyed Mohammad Reza Hashemi,A0024
Parviz Hosseinkhani,A0025
Hamid Reza Shakur,A0026
Afrooz Asgari,A0027
Seyed Abolfazl Hosseini,A0028
Mohammad Hossein Shepherd Dastjerdi,A0029
Mohammad Arkani,A0030
Seyed Reza Hashemi,A0031
Alexander Asadi Amir Abadi,A0032
Azam Zabihi,A0033
Qasim Forouzani,A0034
Farid Samsars,A0035
Amir Moslehi,A0036
Rezaian Treaty,A0037
Kamran Kashiri,A0038
Soul,A0039
Mohsen Shayeste,A0040
Mehdi Eshghi,A0041
Somayeh Ghaffari,A0042
Toraj Abadzadeh,A0043
Massoud Alizadeh,A0044
Keyvan Asadian,A0045
Mohammad Sadiq,A0046
But Alizadeh,A0047
Parviz Hossein Khani,A0048
Mustafa Najafi,A0049
Javad Afshar,A0050
Massoud Arabiyeh,A0051
Helper Taghipour Azar,A0052
Sayed Shahabuddin Naqavi,A0053
Seyed Javad Ahmadi,A0054
Mohammad Ali Khazaei,A0055
Maryam Nasserian,A0056
Babak Khan Babaei,A0057
Mahsa Nejadjabari,A0058
Seyed Reza Shoja Razavi,A0059
Reza Mozaffari,A0060
Hossein Jamali,A0061
Akbar Ishaqi,A0062
Fatima Susan,A0063
Behnaz College,A0064
Kassaian Covenant,A0065
Faezeh Mehdizadeh,A0066
Soheil optimistic,A0067
Mustafa Hassanzadeh,A0068
Massoud Amin Mozaffari,A0069
Good Farrokh,A0070
Rahman,A0071
Hassan Ismaili,A0072
Hossein Surgery,A0073
Yasser Bowl,A0074
Hamideh Bakhshi,A0075
Mohammad Morshedi Tawfiq,A0076
Morteza Akbari Hesar,A0077
Javad Nik Zare,A0078
Gholamhossein Layati,A0079
Hamed Ahmadi,A0080
Behnam Yasemi,A0081
Hamid Soleimanimehr,A0082
Hossein Khodarahmi,A0083
sadegh rahmati,A0084
Najmeh khazraiyan,A0085
Hamid Arabi,A0086
Nasser Hassanzadeh,A0087
Mohammad Hossein Keshavarz,A0088
Safa Peyman,A0089
Hadi Darbi,A0090
Mojtaba Zia Shamami,A0091
Hashem Babaei,A0092
Tawhid Mirzababa Mostofi,A0093
J. Zamani,A0094
M. A. Samimi,A0095
F. Sardarzadeh,A0096
M. H. Ghezelayagh,A0097
Hossein Khameh,A0098
Saeed Zare Ganjaroudi,A0099
Ali Acceptor,A0100
Iraj Shahmari is not,A0101
Abbas Maleki,A0102
Abolhassan Mobashari,A0103
Hassan Ebadian,A0104
Seyed Abolfazl Qasemi,A0105
Samira Faqih,A0106
Babak Khanbabaei,A0107
Mehdi -like Zadeh,A0108
Hamid Reza Al -Barzenia,A0109
Sara Sadrzadeh,A0110
Nafiseh Khosravi,A0111
Behzad Hippocrates,A0112
Kamal Mustafa Nejad,A0113
Mohammad Reza Kardan,A0114
Hossein Created,A0115
Mitra Atari Allaf,A0116
Asad Babakhani,A0117
Job Dhouter,A0118
Sabia Hosni,A0119
Mohammad Amin Amirkhani,A0120
Ahmad Lashkari,A0121
Mohammad Rajaee,A0122
Faezeh Rahmani,A0123
Hadi Darwish trustee,A0124
Behzad Salmasian,A0125
Rabi'i Atalah,A0126
