paper_id,author_id
P0001,A0001
P0001,A0002
P0001,A0003
P0002,A0004
P0002,A0005
P0002,A0006
P0003,A0007
P0003,A0008
P0004,A0009
P0004,A0010
P0005,A0011
P0005,A0012
P0006,A0013
P0006,A0014
P0006,A0015
P0006,A0016
P0007,A0017
P0007,A0018
P0008,A0019
P0008,A0020
P0008,A0018
P0008,A0021
P0009,A0022
P0009,A0023
P0010,A0024
P0010,A0025
P0010,A0026
P0011,A0027
P0011,A0028
P0011,A0029
P0011,A0016
P0012,A0030
P0013,A0031
P0013,A0009
P0013,A0032
P0014,A0033
P0014,A0034
P0014,A0035
P0014,A0036
P0014,A0037
P0015,A0038
P0015,A0039
P0015,A0040
P0015,A0041
P0016,A0042
P0016,A0043
P0016,A0044
P0016,A0045
P0017,A0046
P0018,A0047
P0018,A0048
P0018,A0049
P0018,A0012
P0018,A0050
P0019,A0051
P0019,A0052
P0019,A0053
P0019,A0054
P0019,A0055
P0020,A0056
P0020,A0057
P0021,A0058
P0021,A0059
P0021,A0060
P0022,A0061
P0022,A0060
P0022,A0062
P0022,A0063
P0023,A0064
P0023,A0057
P0023,A0065
P0024,A0066
P0024,A0067
P0025,A0047
P0025,A0048
P0025,A0049
P0025,A0012
P0025,A0050
P0026,A0068
P0026,A0069
P0026,A0070
P0026,A0071
P0026,A0072
P0027,A0073
P0027,A0074
P0028,A0075
P0029,A0076
P0029,A0068
P0029,A0077
P0030,A0078
P0030,A0079
P0030,A0080
P0031,A0081
P0031,A0082
P0031,A0083
P0031,A0084
P0031,A0085
P0032,A0086
P0033,A0087
P0033,A0088
P0034,A0087
P0034,A0088
P0035,A0089
P0035,A0090
P0036,A0091
P0036,A0092
P0036,A0093
P0036,A0083
P0037,A0094
P0037,A0095
P0037,A0096
P0037,A0097
P0038,A0086
P0039,A0098
P0039,A0099
P0039,A0100
P0039,A0074
P0040,A0001
P0040,A0002
P0040,A0003
P0041,A0011
P0041,A0012
P0042,A0009
P0042,A0010
P0043,A0101
P0043,A0102
P0043,A0103
P0043,A0104
P0044,A0056
P0044,A0057
P0045,A0105
P0045,A0106
P0045,A0057
P0046,A0064
P0046,A0057
P0046,A0065
P0047,A0107
P0048,A0108
P0048,A0057
P0048,A0109
P0049,A0107
P0050,A0091
P0050,A0092
P0050,A0093
P0050,A0083
P0051,A0031
P0051,A0009
P0051,A0032
P0052,A0110
P0052,A0009
P0053,A0111
P0053,A0009
P0053,A0112
P0054,A0113
P0054,A0114
P0054,A0115
P0054,A0116
P0054,A0117
P0054,A0118
P0055,A0105
P0055,A0036
P0055,A0106
P0056,A0119
P0056,A0064
P0056,A0067
P0057,A0033
P0057,A0034
P0057,A0035
P0057,A0036
P0057,A0037
P0058,A0068
P0058,A0070
P0058,A0069
P0058,A0120
P0058,A0121
P0058,A0122
P0059,A0123
P0059,A0124
P0060,A0073
P0060,A0074
P0061,A0013
P0061,A0014
P0061,A0015
P0061,A0016
P0062,A0125
P0062,A0126
P0062,A0127
P0062,A0128
P0063,A0129
P0063,A0130
P0063,A0060
P0064,A0131
P0064,A0079
P0064,A0080
P0065,A0078
P0065,A0079
P0065,A0080
P0066,A0132
P0066,A0080
P0066,A0133
P0067,A0132
P0067,A0080
P0067,A0134
P0068,A0135
P0068,A0092
P0068,A0093
P0069,A0136
P0069,A0137
P0069,A0138
P0069,A0139
P0069,A0140
P0070,A0073
P0070,A0074
P0071,A0141
P0071,A0142
P0072,A0143
P0072,A0144
P0073,A0107
P0073,A0145
P0074,A0146
P0074,A0107
P0075,A0147
P0075,A0102
P0075,A0148
P0075,A0149
P0075,A0150
P0076,A0151
P0076,A0152
P0076,A0153
P0077,A0154
P0077,A0155
P0077,A0156
P0078,A0157
P0078,A0158
P0078,A0159
P0078,A0160
P0078,A0161
P0079,A0162
P0079,A0159
P0079,A0163
P0080,A0164
P0080,A0165
P0080,A0166
P0081,A0167
P0082,A0168
P0082,A0169
P0082,A0170
P0083,A0171
P0083,A0172
P0083,A0173
P0084,A0174
P0084,A0175
P0085,A0176
P0085,A0177
P0085,A0178
P0086,A0176
P0086,A0177
P0086,A0178
P0087,A0179
P0087,A0180
P0088,A0181
P0088,A0182
P0089,A0183
P0089,A0009
P0089,A0184
P0090,A0185
P0090,A0163
P0091,A0186
P0091,A0098
P0091,A0187
P0091,A0188
P0091,A0189
P0092,A0190
P0092,A0023
P0092,A0191
P0093,A0162
P0093,A0159
P0093,A0163
P0094,A0162
P0094,A0159
P0094,A0163
P0095,A0192
P0095,A0193
P0095,A0194
P0095,A0195
P0096,A0028
P0096,A0196
P0097,A0197
P0097,A0198
P0097,A0199
P0098,A0200
P0098,A0092
P0098,A0201
P0099,A0028
P0099,A0202
P0100,A0203
P0100,A0193
P0100,A0194
P0100,A0195
P0101,A0028
P0101,A0196
P0102,A0204
P0102,A0205
P0102,A0206
P0103,A0207
P0103,A0208
P0103,A0209
P0104,A0210
P0104,A0211
P0104,A0212
P0105,A0213
P0105,A0214
P0106,A0215
P0106,A0216
P0106,A0217
P0106,A0218
P0107,A0219
P0107,A0220
P0108,A0221
P0108,A0222
P0108,A0223
P0108,A0224
P0109,A0225
P0109,A0226
P0110,A0225
P0110,A0227
P0111,A0228
P0111,A0225
P0112,A0123
P0112,A0229
P0112,A0230
P0113,A0231
P0113,A0232
P0113,A0233
P0114,A0234
P0114,A0009
P0115,A0235
P0115,A0028
P0115,A0236
P0115,A0016
P0116,A0237
P0117,A0238
P0118,A0239
P0118,A0240
P0118,A0241
P0118,A0242
P0118,A0243
P0118,A0244
P0118,A0245
P0119,A0246
P0119,A0247
P0119,A0248
P0120,A0249
P0120,A0250
P0120,A0251
P0120,A0245
P0120,A0252
P0120,A0253
P0121,A0254
P0121,A0250
P0121,A0255
P0122,A0256
P0122,A0250
P0122,A0251
P0122,A0245
P0122,A0257
P0123,A0258
P0123,A0259
P0123,A0251
P0124,A0260
P0124,A0259
P0124,A0261
