paper_id,title,journal,year,abstract,link
P0001,Calculation of neutronic and kinetic parameters of Isfahan Miniature Neutron Source Reactor using slope fit and perturbation methods,Radiation Physics and Engineering,2020,"Kinetic and neutronic parameters play an important role in analysis of reactors dynamic behavior. Some of these parameters include: effective multiplication factor (keff), reactivity (ρ), neutron flux as well as power spatial distributions, effective delayed neutron fraction (βeff) and prompt neutron lifetime (lp ). In this work, Monte Carlo modeling and analysis of Isfahan MNSR is performed for calculation of the kinetic and neutronic parameters of using MCNPX2.6 code, slope fit and perturbation methods. Relative differences between results of the MCNPX2.6 code in calculation of the ρ and βeff and the reference values are about 0.5% and 2.1%, respectively. The relative differences between the results of the slope fit and perturbation methods and MCNPX2.6 code in calculation of the parameter with the reference values are about 17.6%, 4.8% and 29.19%, respectively. Therefore, the results of these research show that the MCNPX2.6 code is suitable for calculation of the reactor kinetic parameters such as the βeff, while the perturbation method is a simple and convenient method for calculating the .",https://en.civilica.com/doc/1142023/
P0002,Measurement of tritium concentration in heavy water by azeotropic distillation,Radiation Physics and Engineering,2023,"In this work, the concentration of tritium in D۲O of various degrees of purity was measured. Samples were taken from the Arak heavy water plant and tritium concentrations were determined using a liquid scintillation detector (LSC) based on tritium decay. In this work, instead of simple distillation, is used the azeotropic distillation method. Absorption and fluorescence spectra were recorded using a Shimadzu UV-۲۱۰۰ spectrometer and an LS۵۰B fluorescence spectrometer. The tritium concentration in the samples varied from ۱.۷۵ ± ۰.۸۰ to ۶.۱۶ ± ۱.۰۱ Bq.L-۱ in D۲O enrichment from ۰.۳۵% to ۷۷.۵۰%. The correlation coefficient between tritium concentration and D۲O purity in heavy water was obtained as R۲ = ۰.۸۵۳. Deviation for ۹۹.۸% D۲O enriched in heavy water. This was observed from a straight line, leading to a drop in R۲. The results of this measurement showed that the tritium concentration did not exceed the value set by the Nuclear Regulatory Commission (NRC).",https://en.civilica.com/doc/1681192/
P0003,Monte Carlovi Investigation of Neutron Noteron Nutrone Products Bahonar University of Kerman,National Conference on Technological Advances in Applied Physics,2021,"Influential neutrons in various materials activate neutrons and produce new radionuclides.The purpose of this article is to investigate radioisotopes produced by materials under the radiation of neutron spring of Bahonar University of Kerman.For this purpose, simulation with MCNPX code is used according to Monte Carlo's methods.In this coding, the geometry of the Nutrone Springs of the Bahonar University of Kerman is defined and the material with different density is placed inside the chamber.In the present article, the benefits of the production of radionocluids produced in aluminum, rice and carbon targets have been reported by neutron springs by Bahonar University of Kerman.The results of the produced radionoclids show that Bahonar University of Bahonar University of Kerman is capable of producing 2 zn, 1mn, 2NA, 2C, 2BE elements with yields of 0.5, % 0.5 %, 0.5 %, 0.5 %, 0.5 % and 1 %1",https://en.civilica.com/doc/1483885/
P0004,Simulation based on electron therapy during breast surgery,Iranian Journal of Radiation Safety and Measurement,2022,"Electronic therapy during surgery is a relatively new method of direct radiation of ionizing beams to the tumor or bed during surgery.In order to properly treat the target target, it is necessary to examine the radiation and protection curve used to protect the tissue and healthy organs.Radiation therapy during breast surgery requires the protection of sub -target tissues such as heart and lung.In these conditions, a thin layer of high -z material is placed between the treatment tissue (breast) and the vital part of the lower part.Using the MCNPX code, chest, shielding and lung were three cylindrical axes under the radiation of 1, 2, 2 and 2 MB.The amount of flux and dose of electron and secondary photons were calculated in different tissues.Studies have shown that for 2 megalatV electrons, the use of shielding has a slight effect on the dose of tissue surrounding the chest.In 1 and 2 megawl energy, AL-PB protective and ST-PMMA protector almost perform the same function in reducing the dose received by the surrounding tissues around the chest.In 2 megalat voltte energy, AL-PB adsorbent is more well-functioning than ST-PMMA absorbent in reducing doses of adjacent organs of breast tissue.",https://en.civilica.com/doc/1648085/
P0005,Investigating the Beta Nickel 2 Integration Depth in Silicon Monte Carlo Using MCNPX Code,Iranian Journal of Radiation Safety and Measurement,2020,"In this study, the spectrum of beta -nickel -2 energy is considered as a full spectrum of energy, moderate spectrum energy, and maximum spectrum energy to evaluate the penetration depth in silicone.Monte Carlo's calculations were performed using MCNPX code on a specified geometry;Following the power stoppage of different energy in silicon was calculated using the Estar computational code.The results have a good agreement.Calculations can be used in the design of semiconductor components of nuclear detectors and dosagers.",https://en.civilica.com/doc/1423136/
P0006,‎Assessment of shielding performance of nitrile butadiene rubber through simulation and experiments at MNSR beam line,Radiation Physics and Engineering,2024,"New nitrile butadiene rubber (NBR) materials are being considered to use for neutron shielding especially for the positions which needs a flexible neutron shield. Such light, low-cost, and suitable material could be used for sealing of the gaps or even for shielding of low radiation environments. In the present work, experimental investigation of NBR shielding performance of neutrons and gamma rays was proposed using the beam line of the Isfahan Miniature Neutron Source Reactor . MCNPX code was used to simulate the ۳۰ kW research reactor beam line. Six NBR sheet with ۲ cm thickness were used at the outlet of the beam line respectively to measure its neutron shielding as well as gamma shielding power on thickness. The experiment situations were modeled using the computational code. The obtained results showed the flexible and cheap material could be used as a good neutron shield while it acts as a very weak shield for gamma rays too. Also there is good conformity between simulation and experimental data with maximum ۳۷% relative discrepancy.",https://en.civilica.com/doc/1961788/
P0007,Increase the simulation capabilities of beta-gypsy microbatics using MCNPX-Silvaco Combined Code,journal of nuclear Science and technology,2020,"The accuracy of any simulation is a very important factor that increases the reality of the simulation results.The purpose of this study is to improve the accuracy of calculating beta -ellic battery parameters.For this purpose, first using the MCNPX Code, the Distribution of Energy Camera caused by the spectrum of nickel-2 beta-2 particle is simulated inside the semiconductor of silicone, then utilizing one of the Silvako code capabilities (parameter F.Radiate) translator function in the translator.C ++ environment is defined.Finally, the Silvako code was used to calculate the electrical battery -based features based on the MCNPX location.First, for validation, calculations were performed for a battery sample made with a 1mm cross -section and a fountain with MCI3 activation, and the results were compared with experimental results and two analytical methods.Then these calculations for the battery with MCI3 activity, the 2cm cross -section and comparison of the results with the results of an analytical method.The results showed that simulation of microbial attributes by MCNPX-Silvaco combined code using 3D electron-cavity distribution in semiconductor and the full spectrum of beta particles creates a significant increase in the accuracy of the calculations and provides a good capability.Provides battery design optimization.",https://en.civilica.com/doc/1361423/
P0008,Design and Construction of Space Plasma Simulator,10th National Vacuum Conference of Iran,2021,"The plasma simulator chamber is used for experimental study and simulation of Yunsfar Plasma and Magnetosphere, and it is also used by creating similar conditions to perform satellite tests, space propulsion, electronic components, base space equipment and sensors used in UNESS..The other application of this chamber is due to its large dimensions of plasma without disturbance for calibration and testing plasma diagnostic systems.The enclosure consists of a large tail (cylindrical 2 meters long and 1.5 m in diameter), surrounded by a plasma fountain containing a pivotal magnetic field springs of about 2.The compartment consists of 4 ports for accessing diagnostic systems and other tools.The final pressure of the chamber and its working pressure is 1-5 and 2-5 tours, respectively.",https://en.civilica.com/doc/1453620/
P0009,Benchmark MCNP computer code simulation results against experimental data of neutron flux and spectrum from neutron imaging system of Tehran research reactor,Radiation Physics and Engineering,2024,"Using the experimental data in nuclear computing to verify the calculation methods and tools based on numerical and statistical methods has many benefits such as illustrating the quality, ensuring the capabilities, and computer codes validating. Simulation by computer tools is also applicable in the safety analysis of research reactors. In this research, the computer tool (MCNPX ۲.۷.۰: ۲۰۱۱) was verified against the experimental data of neutron flux and spectrum on the sample position of the Tehran Research Reactor (TRR) neutron imaging system by the neutron activation method. To determine the benchmark specifications, the simulation of the system was done at the first step by considering a well-defined facility geometric, material specification and reactor core configuration, fuel elements, and radiation facility (beam tubes and collimator, reactor core, and neutron imaging components). Then the flux and neutron spectrum at the sample position were calculated. In the second step, a set of In (bare and covered by cd) and Au foils and a set of Au, Ni, Ti, and Zr, were placed and exposed almost in front of the reactor E beam tube. The neutron energy spectrum was unfolded by calculating the saturation activity of each foil by SAND-II code, and the neutron flux was calculated. A comparison of the results obtained in two steps shows a relatively good and acceptable agreement (Max. ۳۰% deviation) between the flux and the shape of the flux profile obtained from calculations and experimental data.",https://en.civilica.com/doc/1876565/
P0010,Simulation and evaluation of the performance of the gamma cavity coded with wide field of view,Iranian Journal of Radiation Safety and Measurement,2023,"Careful location of radiation material is very important in nuclear imaging.Safety and security against the increasing threat of attacks using radios, border monitoring, terrorism, as well as increasing the number of nuclear power plants, require the development of a reliable system for imaging a wide range of gamma beams at different intervals;To identify and replace radiation resources at the appropriate time.Radiation materials are used in medicine, non -destructive tests, nuclear weapons, electricity generation, and so on.The main advantage of coding cavities (CAI) over other imaging methods is due to the many holes that increase the amount of photons input to the detector, thereby creating a better and, albeit more sophisticated image.After the decoding process, the resolution is increased by applying the MLEM algorithm.In this article, the gamma camera simulation with mosaic mosaic cavities in the Gate code for imaging of the czium-1 springs and the Emperal-1 was carried out by the NAI detector (TL) with a dimension of 4.1.5.The separation of this system for the two springs is 2 meters from the camera and the angular separation power has been obtained appropriately (about 2 degrees);In addition, the minimum dose of equivalent for imaging within 2 meters for the Springs of Czium-1, 1.2 (with the activity of 2 microcyal spring) is estimated and the signal levels to the low in this distance were equal to 1.5 and applied by applyingThe MLEM algorithm was 1.5.The importance of this study relies on the study of the localization of the radius springs, especially during nuclear disarmament, border observation and pollution;Because often the real place of radiation spring is unknown.",https://en.civilica.com/doc/1795266/
